NULL,MLB38281,Taramps,MLB,0,MLB3385,0,1
NULL,MLB30194,Micrômetros,MLB,0,MLB5550,1,1
NULL,MLB31151,"Outras Escalas",MLB,0,MLB12034,1,1
NULL,MLB103651,Recarregáveis,MLB,0,MLB60702,1,1
NULL,MLB85890,Chinchilas,MLB,0,MLB1109,1,1
NULL,MLB40453,Outros,MLB,0,MLB7124,1,1
NULL,MLB63941,Mudança,MLB,0,MLB9004,1,1
NULL,MLB40199,"Toca Discos",MLB,0,MLB5474,1,1
NULL,MLB107364,Sony,MLB,0,MLB86708,1,1
NULL,MLB38290,"Até 140W",MLB,0,MLB38281,1,1
NULL,MLB22796,"Escala 1/24",MLB,0,MLB12034,1,1
NULL,MLB49081,"Medidores de Umidade",MLB,0,MLB5550,1,1
NULL,MLB103611,"Não Recarregáveis",MLB,0,MLB60702,1,1
NULL,MLB85865,Outros,MLB,0,MLB1105,1,1
NULL,MLB108926,"Técnicas Mistas",MLB,0,MLB7127,1,1
NULL,MLB22846,"Escala 1/18",MLB,0,MLB12034,1,1
NULL,MLB38282,"Acima de 2500W",MLB,0,MLB38281,1,1
NULL,MLB40200,"Tape Decks",MLB,0,MLB5474,1,1
NULL,MLB28150,Prada,MLB,0,MLB8378,1,1
NULL,MLB107356,Powerpack,MLB,0,MLB86708,1,1
NULL,MLB64128,"Lojas de Peças",MLB,0,MLB9004,1,1
NULL,MLB49062,Manômetros,MLB,0,MLB5550,1,1
NULL,MLB103414,Sanyo,MLB,0,MLB9526,0,1
NULL,MLB85878,Habitats,MLB,0,MLB1105,1,1
NULL,MLB40191,Outros,MLB,0,MLB7127,1,1
NULL,MLB38285,"800W a 1000W",MLB,0,MLB38281,1,1
NULL,MLB40271,"Sistemas Completos",MLB,0,MLB5474,1,1
NULL,MLB10688,"Funilaria e Pintura",MLB,0,MLB9004,1,1
NULL,MLB5115,"Outras Marcas",MLB,0,MLB8378,1,1
NULL,MLB22809,"Escala 1/12",MLB,0,MLB12034,1,1
NULL,MLB107359,"Outras Marcas",MLB,0,MLB86708,1,1
NULL,MLB85864,"Gaiolas para Hamsters",MLB,0,MLB1105,1,1
NULL,MLB103650,Recarregáveis,MLB,0,MLB103414,1,1
NULL,MLB38286,"550W a 790W",MLB,0,MLB38281,1,1
NULL,MLB108920,Gravuras,MLB,0,MLB7127,1,1
NULL,MLB65166,"Mini Estantes",MLB,0,MLB2097,1,1
NULL,MLB49093,Lupas,MLB,0,MLB5550,1,1
NULL,MLB49274,"Centro Automotivos e Mecânicas",MLB,0,MLB9004,1,1
NULL,MLB9164,Rádios,MLB,0,MLB5474,0,1
NULL,MLB107357,Motorola,MLB,0,MLB86708,1,1
NULL,MLB5142,Oakley,MLB,0,MLB8378,1,1
NULL,MLB85863,Acessórios,MLB,0,MLB1105,1,1
NULL,MLB38287,"450W a 540W",MLB,0,MLB38281,1,1
NULL,MLB103610,"Não Recarregáveis",MLB,0,MLB103414,1,1
NULL,MLB108923,Desenhos,MLB,0,MLB7127,1,1
NULL,MLB63967,Aluguel,MLB,0,MLB9004,1,1
NULL,MLB107355,Infant,MLB,0,MLB86708,1,1
NULL,MLB30213,Balanças,MLB,0,MLB5550,0,1
NULL,MLB40335,Valvulados,MLB,0,MLB9164,1,1
NULL,MLB1091,Peixes,MLB,0,MLB1071,0,1
NULL,MLB12054,Militares,MLB,0,MLB2097,1,1
NULL,MLB38288,"280W a 440W",MLB,0,MLB38281,1,1
NULL,MLB103418,Rayovac,MLB,0,MLB9526,0,1
NULL,MLB70091,Nike,MLB,0,MLB8378,1,1
NULL,MLB63965,Vestuário,MLB,0,MLB1540,0,1
NULL,MLB40329,Aquarelas,MLB,0,MLB7127,1,1
NULL,MLB40306,Transistorizados,MLB,0,MLB9164,1,1
NULL,MLB30221,"Outras Balanças",MLB,0,MLB30213,1,1
NULL,MLB107354,"Fisher Price",MLB,0,MLB86708,1,1
NULL,MLB39495,Helicópteros,MLB,0,MLB2097,1,1
NULL,MLB1098,Peixes,MLB,0,MLB1091,1,1
NULL,MLB38289,"150W a 260W",MLB,0,MLB38281,1,1
NULL,MLB28099,Mormaii,MLB,0,MLB8378,1,1
NULL,MLB103649,Recarregáveis,MLB,0,MLB103418,1,1
NULL,MLB110727,Uniformes,MLB,0,MLB63965,1,1
NULL,MLB40284,Acrílicos,MLB,0,MLB7127,1,1
NULL,MLB40295,Portáteis,MLB,0,MLB9164,1,1
NULL,MLB30220,"Balanças de Cozinha",MLB,0,MLB30213,1,1
NULL,MLB11986,Caminhões,MLB,0,MLB2097,0,1
NULL,MLB110748,Reparos,MLB,0,MLB63965,1,1
NULL,MLB5130,Matrix,MLB,0,MLB8378,1,1
NULL,MLB103609,"Não Recarregáveis",MLB,0,MLB103418,1,1
NULL,MLB107365,Dican,MLB,0,MLB86708,1,1
NULL,MLB108943,Originais,MLB,0,MLB1369,1,1
NULL,MLB38283,"1400W a 2490W",MLB,0,MLB38281,1,1
NULL,MLB1099,Outros,MLB,0,MLB1091,1,1
